id,latitude,longitude,depth,mag
pde20110311055431940_32,37.712,141.184,32.3,6.3
pde20110311054624120_29,38.297,142.373,29,9
pde20110310170836860_510,-6.873,116.72,510.6,6.5
pde20110309212449760_29,-5.985,149.777,29,6.4
pde20110309212401680_15,38.296,142.808,15,6.5
pde20110309212217580_23,38.345,142.648,23,6
pde20110309181616440_22,38.315,142.434,22,6
pde20110309024520330_32,38.435,142.842,32,7.3
pde20110307000936450_22,-10.349,160.766,22,6.3
pde20110306143236080_87,-56.422,-27.063,87.7,6.5
pde20110306123159780_118,-18.021,-69.362,118,6.3
pde20110301005346340_10,-29.701,-111.981,10,6
pde20110221235142350_5,-43.583,172.68,5.9,6.1
pde20110221105752410_558,-26.142,178.394,558.1,6.5
pde20110220214324150_33,55.918,162.117,33,6.1
pde20110215133353180_16,-2.497,121.483,16.2,6.1
pde20110214034009920_21,-35.38,-72.834,21,6.7
pde20110213103506740_17,-36.649,-73.176,17,6
pde20110212175756130_85,-20.879,-175.672,85,6.1
pde20110212011701410_16,-37.027,-72.954,16,6.1
pde20110211200530910_26,-36.422,-72.96,26,6.9
pde20110210144158820_525,4.077,123.039,525,6.6
pde20110210143927710_523,4.195,122.974,523.2,6.5
pde20110207195342910_415,-7.154,155.184,415,6.4
pde20110204135346260_85,24.618,94.68,85,6.2
pde20110131060327300_76,-22.009,-175.622,76,6
pde20110129065527520_15,70.931,-6.657,15,6.2
pde20110127083828340_10,28.195,59.015,10,6.2
pde20110126154229590_23,2.205,96.829,23,6.1
pde20110124024531520_110,38.413,72.791,110,6
pde20110118202323480_68,28.777,63.951,68,7.2
pde20110117192057210_36,-5.03,102.647,36,6
pde20110113161641540_9,-20.628,168.471,9,7
pde20110112213253860_512,26.973,139.882,512,6.4
pde20110109172151650_18,-19.201,168.155,18,6.1
pde20110109100343990_22,-19.155,168.312,22,6.5
pde20110105064614630_112,-22.26,171.631,112.2,6.1
pde20110102202017780_24,-38.355,-73.326,24,7.2
pde20110101095658120_576,-26.803,-63.136,576.8,7
pde20101229065419640_16,-19.661,168.14,16,6.4
pde20101228083417550_551,-23.407,-179.802,551,6.3
pde20101226021337680_13,-19.616,168.284,13,6
pde20101225131637000_16,-19.702,167.947,16,7.3
pde20101223140032330_18,53.127,171.161,18,6.4
pde20101222214940080_18,26.81,143.595,18,6.4
pde20101221171940660_14,26.901,143.698,14,7.4
pde20101220184159200_12,28.412,59.18,12,6.7
pde20101215112930840_134,-7.268,128.786,134.9,6
pde20101213011442320_135,-6.534,155.647,135.8,6.2
pde20101208052435260_29,-56.412,-25.741,29.4,6.3
pde20101202031209820_33,-6.001,149.977,33,6.6
pde20101201160127440_15,-15.888,-178.956,15.2,6.1
pde20101130032440180_470,28.349,139.187,470,6.8
pde20101123090106860_68,-5.959,148.966,68,6.1
pde20101121043631440_10,-54.967,-131.479,10,6
pde20101110040524410_10,-45.464,96.394,10,6.5
pde20101103233442480_18,-20.466,-174.28,18,6.1
